No,Name,First,Last,Mat,Inn,NO.1,Runs,HS,Avg,Balls,Mdn,Runs_1,Wkt,BBM,Avg_2,Ca,St,strike_rate,consistency,batsman_score,bowler_score,economy
177,Ravindra Jadeja,2009,2023,0.6336996336996337,118.0,41.0,0.19584431694836407,87,0.49696969696969695,8725.0,0.7352941176470588,7142.0,1.0,5/36,0.22490225563909777,65,0,4.261929839287621e-05,0.39188612651747273,0.30062121917430895,0.8104947024816092,0.5694381462563848
194,Bhuvneshwar Kumar,2012,2022,0.43956043956043955,55.0,16.0,0.04279733291983253,53*,0.21439393939393941,5847.0,1.0,4951.0,0.7382198952879582,5/42,0.21118796992481204,29,0,1.3897745974431018e-05,0.18373205741626797,0.13735023918230432,0.7275420341659865,0.5890497542403759
195,Mohammed Shami,2013,2023,0.326007326007326,43.0,19.0,0.015816405644285936,25,0.12878787878787878,4506.0,0.6617647058823529,4210.0,0.8481675392670157,5/69,0.15627067669172934,29,0,6.664650283257439e-06,0.08685008780799319,0.08387787259153787,0.7170693200330732,0.6499546498388621
185,Ravichandran Ashwin,2010,2022,0.41025641025641024,63.0,20.0,0.05481469995348116,65,0.2434848484848485,6141.0,0.5294117647058824,5058.0,0.7905759162303665,4/25,0.20144360902255642,30,0,1.694800961927795e-05,0.205441139079583,0.14832312146982898,0.6790098711787104,0.5729699878932053
210,Jasprit Bumrah,2016,2022,0.2600732600732601,20.0,13.0,0.0036439758102031323,14*,0.10166666666666667,3807.0,0.6323529411764706,2941.0,0.6335078534031414,6/19,0.1461654135338346,17,0,1.8174118964147915e-06,0.043020594965675056,0.0617208338094184,0.6339812344765864,0.5374082068500817
217,Kuldeep Yadav,2017,2023,0.29304029304029305,30.0,16.0,0.012094898433865716,19,0.1687878787878788,4234.0,0.29411764705882354,3683.0,0.7015706806282723,6/25,0.16529323308270677,12,0,5.423905697472204e-06,0.09519450800915333,0.09248492432619908,0.6022144306948847,0.6051220964860036
211,Yuzvendra Chahal,2016,2023,0.2600732600732601,14.0,5.0,0.00596991781671577,18*,0.12954545454545455,3739.0,0.20588235294117646,3283.0,0.6335078534031414,6/42,0.16318796992481202,16,0,3.0316121952230693e-06,0.10068649885583524,0.07643284961377364,0.5584146273215617,0.6108120050699444
215,Hardik Pandya ,2016,2023,0.2673992673992674,55.0,7.0,0.12280973794386726,92*,0.5,2896.0,0.16176470588235295,2711.0,0.3769633507853403,4/24,0.22646616541353384,30,0,8.051837567596804e-05,0.5272311212814645,0.260185602947959,0.43005212483309246,0.6512130674993994
202,Axar Patel,2014,2023,0.18315018315018317,31.0,10.0,0.03194293688944022,64*,0.2971212121212121,2415.0,0.2647058823529412,1822.0,0.30366492146596863,3/24,0.18893233082706767,23,0,2.511414898846974e-05,0.24330109987451098,0.13977350469844022,0.4297702146689231,0.5248357187865694
188,Shikhar Dhawan ,2010,2022,0.6080586080586081,164.0,10.0,0.5266708016746783,143,0.6683333333333333,1.0,0.0,0.0,0.0,,0.0,83,0,1.0,0.7582742646648435,0.7188009876910147,0.4108058608058608,0.0
225,Mohammed Siraj,2019,2023,0.08424908424908424,10.0,5.0,0.0023259420065126378,9,0.09090909090909091,1118.0,0.27941176470588236,891.0,0.22513089005235604,4/32,0.12463157894736843,5,0,3.950188647842526e-06,0.054919908466819226,0.04177209959310774,0.40379051840804664,0.5544061600684451
213,KL Rahul  ,2016,2023,0.19413919413919414,52.0,8.0,0.1539773608311366,112,0.6837878787878788,1.0,0.0,0.0,0.0,,0.0,32,2,0.29235978212866187,0.6991726808660448,0.4060518368768371,0.3694139194139194,0.0
218,Shardul Thakur,2017,2023,0.12454212454212453,21.0,6.0,0.0231043572646922,50*,0.3009090909090909,1541.0,0.1323529411764706,1599.0,0.2617801047120419,4/52,0.19236090225563912,7,0,2.8467675766164984e-05,0.2597798844938433,0.13448813441143864,0.3667454640406908,0.7218350591089919
224,Rishabh Pant ,2018,2022,0.10622710622710622,26.0,1.0,0.06706466118778105,125*,0.5242424242424243,1.0,0.0,0.0,0.0,,0.0,26,1,0.12733696452230236,0.6090477028692132,0.27740061460988014,0.3606227106227106,0.0
