No,Name,First,Last,Mat,Inn,NO.1,Runs,HS,Avg,Balls,Mdn,Runs_1,Wkt,BBM,Avg_2,Ca,St,strike_rate,consistency,batsman_score,bowler_score,economy,wk_score
213,KL Rahul  ,2016,2023,1.0000000000000002,52.0,8.0,1.0000000000000002,112,0.3353503184713378,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.6991726808660448,0.4060518368768371,0.3694139194139194,0.0,0.8670700636942676
241,Sanju Samson,2021,2022,0.0,10.0,5.0,0.0,86*,1.0,1.0,0.0,0.0,0.0,,0.0,0.07407407407407407,1.0,0.0,0.6041189931350115,0.3826160984922064,0.35366300366300363,0.0,0.3111111111111111
224,Rishabh Pant ,2018,2022,0.44186046511627913,26.0,1.0,0.32306763285024165,125*,0.0,1.0,0.0,0.0,0.0,,0.0,0.7777777777777777,0.0,0.32306763285024154,0.6090477028692132,0.27740061460988014,0.3606227106227106,0.0,0.3062331479609033
235,Ishan Kishan,2021,2023,0.06976744186046513,13.0,1.0,0.10869565217391305,210,0.25159235668789814,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.108695652173913,0.7181834184122514,0.29841663967285054,0.3547619047619047,0.0,0.20620825900188702
