No,Name,First,Last,Mat,Inn,NO.1,Runs,HS,Avg,Balls,Mdn,Runs_1,Wkt,BBM,Avg_2,Ca,St,strike_rate,consistency,batsman_score,bowler_score
217,Kuldeep Yadav,2017,2023,0.29304029304029305,30.0,16.0,0.012094898433865716,19,0.1687878787878788,4234.0,20.0,3683.0,134.0,6/25,27.48,12,0,5.423905697472204e-06,0.09519450800915333,0.09248492432619908,72.05337078651685
195,Mohammed Shami,2013,2023,0.326007326007326,43.0,19.0,0.015816405644285936,25,0.12878787878787878,4506.0,45.0,4210.0,162.0,5/69,25.98,29,0,6.664650283257439e-06,0.08685008780799319,0.08387787259153787,91.1119347664937
237,Rahul Chahar,2021,2021,0.0,1.0,0.0,0.0010079082028221428,13,0.19696969696969696,60.0,0.0,54.0,3.0,3/54,18.0,0,0,3.1895578782079594e-05,0.2379862700228833,0.08314948703859848,3.078947368421052
242,Venkatesh Iyer,2022,2022,0.003663003663003663,2.0,0.0,0.00186075360521011,22,0.18181818181818182,30.0,0.0,28.0,0.0,,0.0,0,0,0.0001177682908876785,0.2196796338672769,0.07737434877250704,30.0
211,Yuzvendra Chahal,2016,2023,0.2600732600732601,14.0,5.0,0.00596991781671577,18*,0.12954545454545455,3739.0,14.0,3283.0,121.0,6/42,27.13,16,0,3.0316121952230693e-06,0.10068649885583524,0.07643284961377364,64.36647707074297
210,Jasprit Bumrah,2016,2022,0.2600732600732601,20.0,13.0,0.0036439758102031323,14*,0.10166666666666667,3807.0,43.0,2941.0,121.0,6/19,24.3,17,0,1.8174118964147915e-06,0.043020594965675056,0.0617208338094184,70.28577075098814
248,Arshdeep Singh,2022,2022,0.007326007326007325,1.0,0.0,0.0006977826019537913,9,0.13636363636363635,79.0,1.0,89.0,0.0,,0.0,0,0,1.6770800917549154e-05,0.16475972540045766,0.05829630253245524,30.2
239,Nitish Rana,2021,2021,0.0,1.0,0.0,0.0005427198015196154,7,0.10606060606060606,18.0,0.0,10.0,0.0,,0.0,0,0,5.724847473706594e-05,0.12814645308924486,0.04478281919617047,30.0
244,Avesh Khan,2022,2022,0.014652014652014652,2.0,0.0,0.0010079082028221428,10,0.09848484848484848,213.0,2.0,214.0,3.0,3/66,71.33,3,0,8.984670079459041e-06,0.11899313501144165,0.04316419273002558,2.314765657403567
225,Mohammed Siraj,2019,2023,0.08424908424908424,10.0,5.0,0.0023259420065126378,9,0.09090909090909091,1118.0,19.0,891.0,43.0,4/32,20.72,5,0,3.950188647842526e-06,0.054919908466819226,0.04177209959310774,26.68121546961326
216,Jayant Yadav,2016,2022,0.003663003663003663,2.0,1.0,0.00023259420065126375,2,0.045454545454545456,84.0,0.0,61.0,1.0,1/8,61.0,1,0,5.257512986057075e-06,0.027459954233409613,0.01680812235441429,0.9838709677419355
238,Krishnappa Gowtham,2021,2021,0.0,1.0,0.0,0.00015506280043417584,2,0.030303030303030304,48.0,0.0,49.0,1.0,1/49,49.0,1,0,6.133765150399921e-06,0.036613272311212815,0.012792535463426517,1.1
234,Prasidh Krishna,2021,2022,0.047619047619047616,5.0,3.0,0.00015506280043417584,2*,0.015151515151515152,674.0,7.0,598.0,25.0,4/12,23.92,2,0,4.368260047762556e-07,0.007322654462242563,0.010078499660193302,15.103852327447834
246,Ravi Bishnoi,2022,2022,0.0,1.0,1.0,0.0003101256008683517,4*,0.0,48.0,0.0,69.0,1.0,1/69,69.0,0,0,1.2267530300799842e-05,0.07322654462242563,0.0074032527450348514,0.9285714285714286
249,Umran Malik,2022,2023,0.02564102564102564,3.0,3.0,0.00015506280043417584,2*,0.0,330.0,2.0,355.0,13.0,3/57,27.3,1,0,8.921840218763523e-07,0.012204424103737604,0.003823533720590338,7.960070671378093
250,Kuldeep Sen,2022,2022,0.0,1.0,1.0,0.00015506280043417584,2*,0.0,30.0,0.0,37.0,2.0,2/37,18.5,0,0,9.814024240639875e-06,0.036613272311212815,0.0037025464372899856,2.5384615384615383
247,Shahbaz Ahmed,2022,2022,0.007326007326007325,1.0,0.0,0.0,0,0.0,156.0,0.0,125.0,3.0,2/32,41.66,1,0,0.0,0.0,0.0007326007326007326,2.2032348804500703
232,T. Natarajan,2020,2021,0.003663003663003663,1.0,0.0,0.0,0*,0.0,120.0,1.0,143.0,3.0,2/70,47.66,0,0,0.0,0.0,0.0003663003663003663,2.31652281134402
240,Chetan Sakariya,2021,2021,0.0,1.0,0.0,0.0,0*,0.0,48.0,0.0,34.0,2.0,2/34,17.0,2,0,0.0,0.0,0.0,2.6666666666666665
