Cap,Name,Career,Mat,Inn,NO,Runs,HS,Avg,100/50,Balls,Mdn,Runs.1,Wkt,BB,Avg.1,5wI,Ca,St,Ref
1,Greg Chappell,1971–1983,74.0,72.0,14.0,"2,331",138*,40.18,3/14,"3,108",41.0,"2,097",72.0,5/15,29.12,2.0,23.0,0.0,[4]
2,Ian Chappell,1971–1980,16.0,16.0,2.0,673,86,48.07,0/8,42,1.0,23,2.0,2/14,11.5,0.0,5.0,0.0,[5]
3,Alan Connolly,1971,1.0,0.0,0.0,0,,,0/0,64,0.0,62,0.0,,,0.0,0.0,0.0,[6]
4,Bill Lawry,1971,1.0,1.0,0.0,27,27,27.0,0/0,0,0.0,0,0.0,,,0.0,1.0,0.0,[7]
5,Graham McKenzie,1971,1.0,0.0,0.0,0,,,0/0,60,0.0,22,2.0,2/22,11.0,0.0,1.0,0.0,[8]
6,Ashley Mallett,1971–1975,9.0,3.0,1.0,14,8,7.0,0/0,502,7.0,341,11.0,3/34,31.0,0.0,4.0,0.0,[9]
7,Rod Marsh,1971–1984,92.0,76.0,15.0,"1,225",66,20.08,0/4,0,0.0,0,0.0,,,0.0,120.0,4.0,[10]
8,Ian Redpath,1971–1975,5.0,5.0,0.0,46,24,9.2,0/0,0,0.0,0,0.0,,,0.0,2.0,0.0,[11]
9,Keith Stackpole,1971–1974,6.0,6.0,0.0,224,61,37.33,0/3,77,0.0,54,3.0,3/40,18.0,0.0,1.0,0.0,[12]
10,Alan Thomson,1971,1.0,0.0,0.0,0,,,0/0,64,2.0,22,1.0,1/22,22.0,0.0,0.0,0.0,[13]
11,Doug Walters,1971–1981,28.0,24.0,6.0,513,59,28.5,0/2,314,3.0,273,4.0,2/24,68.25,0.0,10.0,0.0,[14]
12,Ross Edwards,1972–1975,9.0,8.0,1.0,255,80*,36.42,0/3,0,0.0,0,0.0,,,0.0,0.0,0.0,[15]
13,Dennis Lillee,1972–1983,63.0,34.0,8.0,240,42*,9.23,0/0,"3,593",80.0,"2,145",103.0,5/34,20.82,1.0,10.0,0.0,[16]
14,Bob Massie,1972,3.0,1.0,1.0,16,16*,,0/0,183,5.0,129,3.0,2/35,43.0,0.0,1.0,0.0,[17]
15,Paul Sheahan,1972,3.0,3.0,0.0,75,50,25.0,0/1,0,0.0,0,0.0,,,0.0,0.0,0.0,[18]
16,Graeme Watson,1972,2.0,2.0,1.0,11,11*,11.0,0/0,48,1.0,28,2.0,2/28,14.0,0.0,0.0,0.0,[19]
17,David Colley,1972,1.0,0.0,0.0,0,,,0/0,66,1.0,72,0.0,,,0.0,0.0,0.0,[20]
