Cap,Name,Career,Mat,Inn,NO,Runs,HS,Avg,100/50,Balls,Mdn,Runs.1,Wkt,BB,Avg.1,5wI,Ca,St,Ref,Role
136,Paul Wilson,1997–1998,11,5,2,4,2,1.33,0/0,562,6,450,13,Mar-39,34.61,0,1,0,[141],Batsman
137,Jimmy Maher,1998–2003,26,20,3,438,95,25.76,0/1,0,0,0,0,,,0,18,0,[142],Batsman
138,Brad Young,1998–1999,6,3,1,31,18,15.5,0/0,234,0,251,1,Jan-26,251,0,2,0,[143],Batsman
139,Andrew Symonds,1998–2009,198,161,33,"5,088",156,39.75,Jun-30,"5,935",30,"4,955",133,May-18,37.25,1,82,0,[144],AllRounder
140,Brett Lee,2000–2012,221,110,44,1176,59,17.81,0/3,"11,185",138,"8,877",380,May-22,23.36,9,54,0,[145],Bowler
141,Stuart MacGill,2000,3,2,1,1,1,1,0/0,180,4,105,6,Apr-19,17.5,0,2,0,[146],Batsman
142,Nathan Bracken,2001–2009,116,35,18,199,21*,11.7,0/0,"5,759",91,"4,240",174,May-47,24.36,2,26,0,[147],Bowler
143,Simon Katich,2001–2006,45,42,5,"1,324",107*,35.78,01-Sep,0,0,0,0,,,0,13,0,[148],Batsman
144,Brad Haddin,2001–2015,126,115,16,"3,122",110,31.53,Feb-16,0,0,0,0,,,0,170,11,[149],Wicketkeeper
145,Brad Williams,2002–2004,25,6,4,27,13*,13.5,0/0,"1,203",19,814,35,May-22,23.25,2,4,0,[150],Bowler
146,Ryan Campbell,2002,2,2,0,54,38,27,0/0,0,0,0,0,,,0,4,1,[151],Wicketkeeper
147,Nathan Hauritz,2002–2011,58,32,17,336,53*,22.4,0/1,"2,724",12,"2,152",63,Apr-29,34.15,0,24,0,[152],Bowler
148,Shane Watson,2002–2015,190,169,27,"5,757",185*,40.54,Sep-33,"6,466",35,"5,342",168,Apr-36,31.79,0,64,0,[153],AllRounder
149,Michael Clarke,2003–2015,245,223,44,"7,981",130,44.58,Aug-58,"2,585",7,"2,146",57,May-35,37.64,1,106,0,[154],Batsman
