No,Name,First,Last,Mat,Inn,NO.1,Runs,HS,Avg,Balls,Mdn,Runs_1,Wkt,BBM,Avg_2,Ca,St,Selected,Role
186,Naman Ojha,2010,2010,1,1.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,,0.0,0,1,0,Wicketkeeper
187,Pankaj Singh,2010,2010,1,1.0,1.0,3.0,3*,0.0,42.0,0.0,45.0,0.0,,0.0,1,0,0,Batsman
188,Shikhar Dhawan ,2010,2022,167,164.0,10.0,6793.0,143,44.11,0.0,0.0,0.0,0.0,,0.0,83,0,1,Batsman
189,Saurabh Tiwary,2010,2010,3,2.0,2.0,49.0,37*,0.0,0.0,0.0,0.0,0.0,,0.0,2,0,0,Batsman
190,Wriddhiman Saha,2010,2014,9,5.0,2.0,41.0,16,13.66,0.0,0.0,0.0,0.0,,0.0,17,1,0,Wicketkeeper
191,Ajinkya Rahane ,2011,2018,90,87.0,3.0,2962.0,111,35.26,0.0,0.0,0.0,0.0,,0.0,48,0,0,Batsman
192,Varun Aaron,2011,2014,9,3.0,2.0,8.0,6*,8.0,380.0,1.0,419.0,11.0,3/24,38.09,1,0,0,Batsman
193,Rahul Sharma,2011,2012,4,1.0,0.0,1.0,1,1.0,206.0,0.0,177.0,6.0,3/43,29.5,1,0,0,Batsman
194,Bhuvneshwar Kumar,2012,2022,121,55.0,16.0,552.0,53*,14.15,5847.0,68.0,4951.0,141.0,5/42,35.11,29,0,1,Bowler
195,Mohammed Shami,2013,2023,90,43.0,19.0,204.0,25,8.5,4506.0,45.0,4210.0,162.0,5/69,25.98,29,0,1,Bowler
196,Ambati Rayudu,2013,2019,55,50.0,14.0,1694.0,124*,47.05,121.0,1.0,124.0,3.0,1/5,41.33,17,0,0,Batsman
197,Jaydev Unadkat,2013,2013,7,0.0,0.0,0.0,,0.0,312.0,5.0,209.0,8.0,4/41,26.12,0,0,0,Batsman
198,Cheteshwar Pujara,2013,2014,5,5.0,0.0,51.0,27,10.2,0.0,0.0,0.0,0.0,,0.0,0,0,0,Batsman
199,Mohit Sharma,2013,2015,26,9.0,5.0,31.0,11,7.75,1121.0,12.0,1020.0,31.0,4/22,32.9,6,0,0,Batsman
200,Stuart Binny,2014,2015,14,11.0,3.0,230.0,77,28.75,490.0,4.0,439.0,20.0,6/4,21.95,3,0,0,Batsman
201,Parvez Rasool,2014,2014,1,0.0,0.0,0.0,,0.0,60.0,0.0,60.0,2.0,2/60,30.0,0,0,0,Batsman
202,Axar Patel,2014,2023,51,31.0,10.0,412.0,64*,19.61,2415.0,18.0,1822.0,58.0,3/24,31.41,23,0,0,Bowler
203,Dhawal Kulkarni,2014,2016,12,2.0,2.0,27.0,25*,0.0,598.0,5.0,508.0,19.0,4/34,26.73,2,0,0,Batsman
204,Karn Sharma,2014,2014,2,0.0,0.0,0.0,,0.0,114.0,1.0,125.0,0.0,,0.0,3,0,0,Batsman
205,Kedar Jadhav,2014,2020,73,52.0,19.0,1389.0,120,42.09,1187.0,1.0,1020.0,27.0,3/23,37.77,33,0,1,Batsman
206,Manish Pandey,2015,2021,29,24.0,7.0,566.0,104*,33.29,0.0,0.0,0.0,0.0,,0.0,10,0,0,Batsman
207,Barinder Sran,2016,2016,6,0.0,0.0,0.0,,0.0,302.0,2.0,269.0,7.0,3/56,38.42,1,0,0,Batsman
208,Rishi Dhawan,2016,2016,3,2.0,1.0,12.0,9,12.0,150.0,0.0,160.0,1.0,1/74,160.0,0,0,0,Batsman
209,Gurkeerat Singh,2016,2016,3,3.0,1.0,13.0,8,6.5,60.0,0.0,68.0,0.0,,0.0,1,0,0,Batsman
210,Jasprit Bumrah,2016,2022,72,20.0,13.0,47.0,14*,6.71,3807.0,43.0,2941.0,121.0,6/19,24.3,17,0,1,Bowler
211,Yuzvendra Chahal,2016,2023,72,14.0,5.0,77.0,18*,8.55,3739.0,14.0,3283.0,121.0,6/42,27.13,16,0,0,Bowler
212,Karun Nair,2016,2016,2,2.0,0.0,46.0,39,23.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,Batsman
213,KL Rahul  ,2016,2023,54,52.0,8.0,1986.0,112,45.13,0.0,0.0,0.0,0.0,,0.0,32,2,1,Wicketkeeper
214,Faiz Fazal,2016,2016,1,1.0,1.0,55.0,55*,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,Batsman
215,Hardik Pandya ,2016,2023,74,55.0,7.0,1584.0,92*,33.0,2896.0,11.0,2711.0,72.0,4/24,37.65,30,0,1,AllRounder
216,Jayant Yadav,2016,2022,2,2.0,1.0,3.0,2,3.0,84.0,0.0,61.0,1.0,1/8,61.0,1,0,0,Batsman
217,Kuldeep Yadav,2017,2023,81,30.0,16.0,156.0,19,11.14,4234.0,20.0,3683.0,134.0,6/25,27.48,12,0,0,Bowler
218,Shardul Thakur,2017,2023,35,21.0,6.0,298.0,50*,19.86,1541.0,9.0,1599.0,50.0,4/52,31.98,7,0,0,Bowler
219,Shreyas Iyer,2017,2023,42,38.0,3.0,1631.0,113*,46.6,37.0,0.0,39.0,0.0,,0.0,16,0,1,Batsman
220,Washington Sundar,2017,2023,16,9.0,1.0,233.0,51,29.12,516.0,2.0,435.0,16.0,3/30,27.18,4,0,0,Batsman
221,Siddarth Kaul,2018,2018,3,2.0,0.0,1.0,1,0.5,162.0,0.0,179.0,0.0,,0.0,1,0,0,Batsman
222,Khaleel Ahmed,2018,2019,11,3.0,1.0,9.0,5,4.5,480.0,2.0,465.0,15.0,3/13,31.0,1,0,0,Batsman
223,Deepak Chahar,2018,2022,13,9.0,3.0,203.0,69*,33.83,510.0,5.0,489.0,16.0,3/27,30.56,1,0,0,Batsman
224,Rishabh Pant ,2018,2022,30,26.0,1.0,865.0,125*,34.6,0.0,0.0,0.0,0.0,,0.0,26,1,0,Wicketkeeper
225,Mohammed Siraj,2019,2023,24,10.0,5.0,30.0,9,6.0,1118.0,19.0,891.0,43.0,4/32,20.72,5,0,0,Batsman
226,Vijay Shankar,2019,2019,12,8.0,1.0,223.0,46,31.85,233.0,0.0,210.0,4.0,2/15,52.5,7,0,0,Batsman
227,Shubman Gill,2019,2023,24,24.0,4.0,1311.0,208,65.55,0.0,0.0,0.0,0.0,,0.0,15,0,1,Batsman
228,Shivam Dube,2019,2019,1,1.0,0.0,9.0,9,9.0,47.0,0.0,68.0,0.0,,0.0,0,0,0,Batsman
229,Navdeep Saini,2019,2021,8,5.0,3.0,107.0,45,53.5,420.0,0.0,481.0,6.0,2/58,80.16,3,0,0,Batsman
230,Mayank Agarwal,2020,2020,5,5.0,0.0,86.0,32,17.2,0.0,0.0,0.0,0.0,,0.0,2,0,0,Batsman
231,Prithvi Shaw,2020,2021,6,6.0,0.0,189.0,49,31.5,0.0,0.0,0.0,0.0,,0.0,2,0,0,Batsman
232,T. Natarajan,2020,2021,2,1.0,0.0,0.0,0*,0.0,120.0,1.0,143.0,3.0,2/70,47.66,0,0,0,Batsman
233,Krunal Pandya,2021,2021,5,4.0,2.0,130.0,58*,65.0,228.0,1.0,223.0,2.0,1/26,111.5,1,0,1,Batsman
234,Prasidh Krishna,2021,2022,14,5.0,3.0,2.0,2*,1.0,674.0,7.0,598.0,25.0,4/12,23.92,2,0,0,Batsman
235,Ishan Kishan,2021,2023,14,13.0,1.0,510.0,210,42.5,0.0,0.0,0.0,0.0,,0.0,5,2,0,Wicketkeeper
236,Suryakumar Yadav,2021,2023,23,21.0,3.0,433.0,64,24.05,0.0,0.0,0.0,0.0,,0.0,14,0,0,Batsman
237,Rahul Chahar,2021,2021,1,1.0,0.0,13.0,13,13.0,60.0,0.0,54.0,3.0,3/54,18.0,0,0,0,Batsman
238,Krishnappa Gowtham,2021,2021,1,1.0,0.0,2.0,2,2.0,48.0,0.0,49.0,1.0,1/49,49.0,1,0,0,Batsman
239,Nitish Rana,2021,2021,1,1.0,0.0,7.0,7,7.0,18.0,0.0,10.0,0.0,,0.0,0,0,0,Batsman
240,Chetan Sakariya,2021,2021,1,1.0,0.0,0.0,0*,0.0,48.0,0.0,34.0,2.0,2/34,17.0,2,0,0,Batsman
241,Sanju Samson,2021,2022,11,10.0,5.0,330.0,86*,66.0,0.0,0.0,0.0,0.0,,0.0,7,2,1,Wicketkeeper
242,Venkatesh Iyer,2022,2022,2,2.0,0.0,24.0,22,12.0,30.0,0.0,28.0,0.0,,0.0,0,0,0,Batsman
243,Deepak Hooda,2022,2022,10,7.0,1.0,153.0,33,25.5,150.0,1.0,119.0,3.0,1/6,39.66,3,0,0,Batsman
244,Avesh Khan,2022,2022,5,2.0,0.0,13.0,10,6.5,213.0,2.0,214.0,3.0,3/66,71.33,3,0,0,Batsman
245,Ruturaj Gaikwad,2022,2022,1,1.0,0.0,19.0,19,19.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,Batsman
246,Ravi Bishnoi,2022,2022,1,1.0,1.0,4.0,4*,0.0,48.0,0.0,69.0,1.0,1/69,69.0,0,0,0,Batsman
247,Shahbaz Ahmed,2022,2022,3,0.0,0.0,0.0,0,0.0,156.0,0.0,125.0,3.0,2/32,41.66,1,0,0,Batsman
248,Arshdeep Singh,2022,2022,3,1.0,0.0,9.0,9,9.0,79.0,1.0,89.0,0.0,,0.0,0,0,0,Batsman
249,Umran Malik,2022,2023,8,3.0,3.0,2.0,2*,0.0,330.0,2.0,355.0,13.0,3/57,27.3,1,0,0,Batsman
250,Kuldeep Sen,2022,2022,1,1.0,1.0,2.0,2*,0.0,30.0,0.0,37.0,2.0,2/37,18.5,0,0,0,Batsman
