No,Name,First,Last,Mat,Inn,NO.1,Runs,HS,Avg,Balls,Mdn,Runs_1,Wkt,BBM,Avg_2,Ca,St,strike_rate,consistency,economy,allrounder_score
177,Ravindra Jadeja,2009,2023,174,118.0,41.0,1.0,87,0.6675017895490335,8725.0,0.7313432835820894,7142.0,1.0000000000000002,5/36,0.9402515723270444,65,0,0.18136366616219007,21.406779661016948,4.911404011461318,0.7064389894821881
205,Kedar Jadhav,2014,2020,73,52.0,19.0,0.46215704824976345,120,0.9999999999999999,1187.0,0.0,1020.0,0.0,3/23,1.0,33,0,0.9999999999999999,26.71153846153846,5.155855096882898,0.4155392620624408
215,Hardik Pandya ,2016,2023,74,55.0,7.0,0.554399243140965,92*,0.6746599856836076,2896.0,0.1492537313432836,2711.0,0.27439024390243905,4/24,0.9811320754716979,30,0,0.42067926791258464,28.8,5.61671270718232,0.3883104253874384
185,Ravichandran Ashwin,2010,2022,113,63.0,20.0,0.13954588457899714,65,0.06871868289191119,6141.0,0.5223880597014925,5058.0,0.7560975609756098,4/25,0.3270440251572335,30,0,0.019261040953879996,11.222222222222221,4.941866145578896,0.3566422234199463
194,Bhuvneshwar Kumar,2012,2022,121,55.0,16.0,0.06622516556291391,53*,0.0,5847.0,1.0,4951.0,0.6951219512195121,5/42,0.5817610062893079,29,0,0.0,10.036363636363637,5.080554130323242,0.33216067856667575
202,Axar Patel,2014,2023,51,31.0,10.0,0.0,64*,0.19541875447387247,2415.0,0.2537313432835821,1822.0,0.18902439024390247,3/24,0.0,23,0,0.07082653270762247,13.290322580645162,4.526708074534161,0.21256602496655808
