Cap,Name,Career,Mat,Inn,NO,Runs,HS,Avg,Balls,Mdn,Runs.1,Wkt,Best,Avg.1,Ca,St
100,Rusty Theron,2010–2013,4,1,0,5,5,5.00,194,0,173,12,5-44,14.41,4,-
101,Faf du Plessis,2011–2021,143,136,20,5507,185,47.47,192,0,189,2,1-8,94.50,81,-
102,Imran Tahir,2011–2019,107,36,16,157,29,7.85,5541,38,4297,173,7-45,24.83,25,-
103,Marchant de Lange,2012–2016,3,0,-,-,-,-,149,1,111,8,4-46,13.87,0,-
104,Dean Elgar,2012– 2018,8,7,1,104,42,17.33,96,1,67,2,1-11,33.50,4,-
105,Quinton de Kock,2013–,161,161,8,7123,178,46.55,-,-,-,-,-,-,13,18
106,Rory Kleinveldt,2013,10,7,0,105,43,15.00,513,6,448,12,4-22,37.33,4,-
107,Farhaan Behardien,2013–2018,59,49,14,1074,70,30.68,748,2,719,14,3-19,51.35,27,-
108,Aaron Phangiso,2013–2016,21,13,2,81,20,7.36,1085,6,829,26,3-40,31.88,4,-
109,Kyle Abbott,2013–2016,28,13,4,76,23,8.44,1303,13,1051,34,4-21,30.91,7,-
110,Chris Morris,2013–2019,42,27,4,467,62,20.30,1894,10,1756,48,4-31,36.58,9,-
111,Henry Davids,2013,2,2,0,8,7,4.00,-,-,-,-,-,-,0,-
112,Rilee Rossouw,2014–2016,36,35,3,1239,132,38.71,45,0,44,1,1-17,44.00,22,-
113,Mthokozisi Shezi,2014,1,0,-,-,-,-,36,2,8,1,1-8,8.00,0,-
114,Kagiso Rabada,2015–,106,45,18,401,31*,14.85,5444,63,4613,168,6-16,27.45,41,-
115,David Wiese6,2015–2016,6,6,1,102,41*,20.40,294,0,316,9,3-50,35.11,0,-
116,Tabraiz Shamsi,2016–,55,15,11,39,11*,9.75,2697,8,2510,73,5-49,34.38,9,-
117,Temba Bavuma,2016–,55,53,5,2035,144,42.39,37,0,22,0,-,-,31,-
118,Andile Phehlukwayo,2016–,85,57,19,883,69*,23.23,3175,17,30411,97,4-22,31.35,17,-
119,Dwaine Pretorius,2016–2022,27,13,1,192,50,16.00,1144,9,947,35,4-36,27.05,11,-
120,Keshav Maharaj,2017–,56,31,8,324,40,14.08,2885,15,2772,73,5-33,31.12,13,-
121,Dane Paterson,2017–2019,4,0,-,-,-,-,209,1,217,4,3-44,54.25,2,-
122,Aiden Markram,2017–,86,82,9,2708,175,37.09,1252,2,1227,20,2-18,61.35,42,-
123,Wiaan Mulder,2017–,30,24,6,338,64,18.77,944,2,994,26,3-25,38.23,9,-
124,Khaya Zondo,2018–2021,6,6,1,146,54,29.20,-,-,-,-,-,-,1,-
125,Heinrich Klaasen,2018–2025,60,56,7,2141,174,43.69,30,0,33,0,-,-,51,7
126,Lungi Ngidi,2018–,75,31,17,126,20*,9.00,3461,32,3350,115,6-58,29.13,18,-
127,Reeza Hendricks,2018–,38,38,2,974,102,27.05,42,0,47,1,1-13,47.00,22,-
128,Junior Dala,2018–,3,2,1,8,5,8.00,150,0,168,2,1-57,84.00,1,-
129,Christiaan Jonker,2018,2,2,0,31,25,15.50,-,-,-,-,-,-,0,-
130,Duanne Olivier,2019,2,-,-,-,-,-,114,0,124,3,2-73,41.33,0,-
131,Rassie van der Dussen,2019–,71,65,12,2657,134,50.13,6,0,3,1,1–3,3.00,30,-
132,Beuran Hendricks,2019–,10,4,1,24,18,8.00,386,2,346,10,3-59,34.60,4,-
133,Anrich Nortje,2019–,21,6,1,30,10,6.00,976,4,924,36,4-51,25.66,3,-
134,Lutho Sipamla,2020–,5,2,2,14,10*,-,182,1,172,2,1-40,86.00,1,-
135,JJ Smuts,2020–2021,6,5,1,180,84,45.00,180,1,164,4,2-42,41.00,3,-
136,Bjorn Fortuin,2020–,16,11,1,77,28,7.70,759,5,611,18,2-22,33.94,2,-
137,Janneman Malan,2020–2022,23,22,2,958,177*,47.90,-,-,-,-,-,-,11,-
138,Kyle Verreynne,2020–,19,16,2,533,95,38.07,-,-,-,-,-,-,11,1
139,Daryn Dupavillon,2020–2021,2,1,0,17,17,17.00,66,0,51,1,1-21,51.00,0,-
140,Lizaad Williams,2021–,8,4,0,18,13,4.50,406,5,398,16,4-32,24.87,0,-
141,George Linde,2021–,4,3,1,29,18,14.50,150,1,140,4,2-32,35.00,4,-
142,Sisanda Magala,2021–,8,5,2,18,6*,6.00,342,4,381,15,5-43,25.40,2,-
143,Zubayr Hamza,2021–,1,1,0,56,56,56.00,-,-,-,-,-,-,0,-
144,Marco Jansen,2022–,32,27,5,553,75*,25.13,1565,11,1640,49,5-39,33.46,11,-
145,Gerald Coetzee,2023–,14,7,0,57,22,8.14,666,1,720,31,4-44,23.22,4,-
146,Tony de Zorzi,2023–,22,21,2,705,119*,37.10,-,-,-,-,-,-,1,-
147,Ryan Rickelton,2023–,17,17,1,454,103,28.37,-,-,-,-,-,-,18,6
148,Tristan Stubbs,2023–,15,15,2,392,112*,30.15,12,0,15,0,-,-,2,-
149,Nandre Burger,2023–,14,9,6,41,17,13.66,659,3,671,22,4-46,30.50,0,-
150,Jason Smith,2024–,3,3,0,132,91,44.00,30,0,29,0,-,-,1,-
151,Nqaba Peter,2024–,4,2,0,21,16,10.50,162,0,163,6,3-55,27.16,3,-
152,Ottneil Baartman,2024–,6,5,4,16,10*,16.00,252,2,221,8,2-32,27.62,2,-
153,Kwena Maphaka,2025–,3,3,0,1,1,0.33,131,2,195,5,4-72,39.00,1,-
154,Corbin Bosch,2024–,12,10,4,270,67,45.00,562,2,656,11,2-32,59.63,5,-
155,Eathan Bosch,2024–,1,1,1,7,7*,-,42,0,33,1,1-33,33.00,0,-
156,Matthew Breetzke,2025–,12,12,1,706,150,64.18,-,-,-,-,-,-,1,-
157,Mihlali Mpongwana,2025–,1,1,1,1,1*,-,18,0,25,0,-,-,1,-
158,Senuran Muthusamy,2025–,5,4,1,22,9*,7.33,220,1,233,6,2-30,38.83,2,-
159,Dewald Brevis,2025–,9,9,1,230,54,28.75,24,0,28,0,-,-,5,-
160,Prenelan Subrayen,2025–,2,2,0,18,17,9.00,120,0,146,1,1-46,119.00,0,-
161,Codi Yusuf,2025–,1,1,0,25,5,5.00,60,0,80,0,-,-,0,-
162,Donovan Ferreira,2025–,3,2,0,10,7,5.00,138,0,115,2,2-53,57.50,3,-
163,Lhuan-dre Pretorius,2025–,3,3,0,142,57,47.33,-,-,-,-,-,-,2,-
164,Sinethemba Qeshile,2025–,2,1,0,22,22,22.00,-,-,-,-,-,-,0,-
165,Rubin Hermann,2025–,1,1,0,1,1,1.00,-,-,-,-,-,-,0,-
