Cap,Name,First,Last,Mat,Runs,HS,Avg,50,100,Balls,Wkt,BBI,Ave,5WI,Ca,St,Role,Selected
81,Blair Hartland,1992,1994,16,311,68*,20.73,2,0,—,—,—,—,—,5,—,Batsman,0.0
82,Justin Vaughan,1992,1996,18,162,33,18,0,0,696,15,Apr-33,34.93,0,4,—,AllRounder,0.0
83,Mark Haslam,1992,1992,1,9,9,9,0,0,30,1,Jan-28,28,0,0,—,,0.0
84,Michael Owens,1992,1992,1,—,—,—,—,—,48,0,—,—,—,0,—,,0.0
85,Jeff Wilson,1993,2005,6,103,44*,20.6,0,0,242,4,Feb-21,65,0,4,—,,0.0
86,Richard de Groen,1993,1994,12,12,7*,2.4,0,0,549,8,Feb-34,59.75,0,2,—,,0.0
87,Matthew Hart,1994,2002,13,61,16,7.62,0,0,572,13,May-22,28.69,1,7,—,,0.0
88,Stephen Fleming1,1994,2007,279,8007,134*,32.41,49,8,29,1,01-Aug,28,0,130,—,,0.0
89,Mark Douglas,1994,1995,6,55,30,9.16,0,0,—,—,—,—,—,2,—,,0.0
90,Heath Davis,1994,1997,11,13,7*,6.5,0,0,432,11,Apr-35,39.63,0,2,—,,0.0
91,Darrin Murray,1994,1994,1,3,3,3,0,0,—,—,—,—,—,0,—,,0.0
92,Lee Germon,1994,1997,37,519,89,19.96,3,0,—,—,—,—,—,21,9,,0.0
93,Nathan Astle,1995,2007,223,7090,145*,34.92,41,16,4850,99,Apr-43,38.47,0,83,—,,0.0
94,Roydon Hayes,1995,1995,1,13,13,13,0,0,252,0,—,—,—,0,—,,0.0
95,Roger Twose,1995,2001,87,2717,103,38.81,20,1,272,4,Feb-31,58.75,0,37,—,,0.0
96,Craig Spearman,1995,2001,51,936,86,18.72,5,0,18,0,—,—,—,15,—,,0.0
97,Robert Kennedy,1996,1996,7,17,8*,17,0,0,312,5,Feb-36,56.6,0,1,—,,0.0
98,Geoff Allott,1997,2000,31,17,7*,3.4,0,0,1528,52,Apr-35,23.21,0,5,—,,0.0
99,Matthew Horne,1997,2002,50,980,74,20.41,5,0,—,—,—,—,—,12,—,,0.0
100,Daniel Vettori1,1997,2015,291,2201,83,17.19,4,0,13820,297,05-Jul,31.97,2,86,—,,0.0
101,Andrew Penn,1997,2001,5,23,15,11.5,0,0,159,1,Jan-50,201,0,1,—,,0.0
102,Craig McMillan,1997,2007,197,4707,117,28.18,28,3,1879,49,Mar-20,35.04,0,44,—,,0.0
103,Shayne O'Connor,1997,2000,38,24,8,3.42,0,0,1487,46,May-39,30.34,2,11,—,,0.0
104,Llorne Howell,1998,1998,12,287,68,23.91,4,0,—,—,—,—,—,2,—,,0.0
105,Paul Wiseman,1998,2003,15,45,16,22.5,0,0,450,12,Apr-45,30.66,0,2,—,,0.0
106,Mark Bailey,1998,1998,1,—,—,—,—,—,—,—,—,—,—,0,—,,0.0
107,Matthew Bell,1998,2001,7,133,66,19,1,0,—,—,—,—,—,1,—,,0.0
108,Alex Tait,1998,1999,5,35,13*,11.66,0,0,120,3,Feb-37,29.33,0,0,—,,0.0
109,Chris Drum,1999,1999,5,9,7*,—,0,0,216,4,Feb-31,65.25,0,1,—,,0.0
110,Carl Bulfin,1999,1999,4,9,7*,9,0,0,102,0,—,—,—,1,—,,0.0
111,Scott Styris,1999,2011,188,4483,141,32.48,28,4,6114,137,Jun-25,35.32,1,73,—,,0.0
112,Warren Wisneski,2000,2000,3,10,6,10,0,0,114,0,—,—,—,1,—,AllRounder,0.0
113,Mathew Sinclair,2000,2009,54,1304,118*,28.34,8,2,—,—,—,—,—,17,—,Wicketkeeper,0.0
114,Chris Nevin,2000,2003,37,732,74,20.33,4,0,—,—,—,—,—,16,3,Wicketkeeper,0.0
115,Glen Sulzberger,2000,2000,3,9,6*,9,0,0,132,3,Jan-28,34,0,0,—,Bowler,0.0
116,Daryl Tuffey,2000,2010,94,295,36,9.51,0,0,4333,110,Apr-24,35.12,0,20,—,Bowler,0.0
117,Brooke Walker,2000,2002,11,47,16*,15.66,0,0,438,8,Feb-43,52.12,0,5,—,Bowler,0.0
118,James Franklin,2001,2013,110,1270,98*,23.96,4,0,3848,81,May-42,41.4,1,26,—,AllRounder,0.0
119,Chris Martin,2001,2009,20,8,3,1.6,0,0,948,18,Mar-62,44.66,0,7,—,Bowler,0.0
120,Jacob Oram,2001,2012,160,2434,101*,24.09,13,1,6911,173,May-26,29.17,2,51,—,AllRounder,0.0
121,Lou Vincent,2001,2007,102,2413,172,27.11,11,3,20,1,1/0,25,0,41,—,Batsman,0.0
122,Andre Adams,2001,2007,42,419,45,17.45,0,0,1885,53,May-22,31,1,8,—,AllRounder,0.0
123,Kyle Mills,2001,2015,170,1047,54,15.62,2,0,8230,240,May-25,27.02,1,42,—,Bowler,0.0
124,Shane Bond,2002,2010,82,292,31*,16.22,0,0,4295,147,Jun-19,20.88,4,15,—,Bowler,0.0
125,Mark Richardson,2002,2002,4,42,26,10.5,0,0,—,—,—,—,—,1,—,Batsman,0.0
126,Brendon McCullum,2002,2016,260,6083,166,30.41,32,5,—,—,—,—,—,262,15,Wicketkeeper,0.0
127,Ian Butler,2002,2010,26,84,25,10.5,0,0,1109,28,Mar-41,37.07,0,8,—,Bowler,0.0
128,Robbie Hart,2002,2002,2,0,0,0,0,0,—,—,—,—,—,1,—,Wicketkeeper,0.0
129,Paul Hitchcock,2002,2008,14,41,11*,10.25,0,0,558,12,Mar-30,39,0,4,—,Bowler,0.0
130,Craig Cumming,2003,2005,13,161,45*,13.41,0,0,18,0,—,—,—,6,—,Batsman,0.0
131,Richard Jones,2003,2003,5,168,63,33.6,1,0,—,—,—,—,—,0,—,Batsman,0.0
132,Hamish Marshall,2003,2007,66,1454,101*,27.43,12,1,—,—,—,—,—,18,—,Batsman,0.0
133,Michael Mason,2003,2010,26,24,13*,8,0,0,1179,31,Apr-24,33.03,0,4,—,Bowler,0.0
134,Matthew Walker,2003,2003,3,10,10,10,0,0,132,4,Apr-49,29.75,0,2,—,Bowler,0.0
135,Kerry Walmsley,2003,2003,2,—,—,—,—,—,120,2,Jan-53,58.5,0,1,—,Bowler,0.0
136,Tama Canning,2003,2005,4,52,23*,17.33,0,0,204,5,Feb-30,40.6,0,1,—,Batsman,0.0
137,Michael Papps,2004,2005,6,207,92*,51.75,2,0,—,—,—,—,—,1,—,Batsman,0.0
138,Gareth Hopkins,2004,2010,25,236,45,14.75,0,0,—,—,—,—,—,27,1,Wicketkeeper,0.0
139,Peter Fulton,2004,2009,49,1334,112,32.53,8,1,—,—,—,—,—,18,—,Batsman,0.0
140,James Marshall,2005,2008,10,250,161,25,1,1,—,—,—,—,—,0,—,Batsman,0.0
141,Lance Hamilton,2005,2005,2,3,2*,—,0,0,108,1,Jan-76,143,0,0,—,Batsman,0.0
142,Jeetan Patel,2005,2017,43,95,34,13.57,0,0,2014,49,03-Nov,34.51,0,13,—,Bowler,0.0
143,Jamie How,2005,2011,41,1046,139,29.05,7,1,—,—,—,—,—,19,—,Batsman,0.0
144,Ross Taylor,2006,2022,236,8607,181*,47.55,51,21,42,0,—,—,—,142,—,Batsman,0.98
145,Mark Gillespie,2006,2009,32,93,28,15.5,0,0,1521,37,Apr-58,37,0,6,—,Bowler,0.0
146,Jesse Ryder,2008,2014,48,1362,107,33.21,6,3,407,12,Mar-29,34.33,0,15,—,AllRounder,0.0
147,Iain O'Brien,2008,2009,10,3,3*,—,0,0,453,14,Mar-68,34.85,0,1,—,Batsman,0.0
148,Daniel Flynn,2008,2012,20,228,35,15.2,0,0,24,0,—,—,—,4,—,Batsman,0.0
149,Tim Southee,2008,2023,161,740,55,12.13,1,0,8075,221,Jul-33,33.7,3,44,—,Bowler,0.905
150,Grant Elliott,2008,2016,83,1976,115,34.06,11,2,1302,39,Apr-31,30.23,0,17,—,AllRounder,0.0
151,Neil Broom,2009,2017,39,943,109*,26.94,5,1,—,—,—,—,—,9,—,Batsman,0.0
152,Martin Guptill,2009,2022,198,7346,237*,41.73,39,18,109,4,02-Jun,24.5,0,104,—,Batsman,0.885
153,Brendon Diamanti,2009,2009,1,26,26*,—,0,0,12,0,—,—,—,1,—,AllRounder,0.0
154,Peter McGlashan,2009,2009,4,63,56*,63,1,0,—,—,—,—,—,0,—,Wicketkeeper,0.0
155,Ewen Thompson,2009,2009,1,—,—,—,—,—,24,0,—,—,—,0,—,Batsman,0.0
156,Nathan McCullum,2009,2015,84,1070,65,20.98,4,0,3536,63,Mar-24,46.92,0,41,—,AllRounder,0.0
157,Aaron Redmond,2009,2010,6,152,52,25.33,1,0,—,—,—,—,—,3,—,Batsman,0.0
158,Peter Ingram,2010,2010,8,193,69,27.57,1,0,—,—,—,—,—,3,—,Batsman,0.0
159,Andy McKay,2010,2012,19,12,4*,4,0,0,926,27,Apr-53,29.62,0,3,—,Bowler,0.0
160,Shanan Stewart,2010,2012,4,26,14,6.5,0,0,—,—,—,—,—,0,—,Batsman,0.0
161,Kane Williamson,2010,2025,175,7256,148,48.69,47,15,1467,37,Apr-22,35.4,0,76,—,Batsman,0.985
162,BJ Watling,2010,2018,28,573,96*,24.91,5,0,—,—,—,—,—,20,0,Wicketkeeper,0.0
163,Hamish Bennett,2010,2020,19,10,4*,5,0,0,892,33,Apr-16,24.84,0,3,—,Bowler,0.0
164,Luke Woodcock,2011,2011,4,14,11,14,0,0,164,3,Feb-58,51.66,0,0,—,AllRounder,0.0
165,Doug Bracewell,2011,2022,21,221,57,18.41,1,0,1016,26,Apr-55,32.5,0,5,—,AllRounder,0.0
166,Rob Nicol,2011,2013,22,586,146,30.84,2,2,339,10,Apr-19,32.9,0,11,—,Batsman,0.0
167,Graeme Aldridge,2011,2011,2,—,—,—,—,—,114,1,Jan-45,98,0,0,—,Batsman,0.0
168,Dean Brownlie,2011,2017,16,361,63,25.78,1,0,—,—,—,—,—,6,—,Batsman,0.0
169,Andrew Ellis,2012,2013,5,25,16,8.33,0,0,480,12,Feb-22,35.41,0,3,—,Bowler,0.0
170,Tom Latham,2012,2025,163,4464,145*,34.07,26,8,—,—,—,—,—,142,17,Wicketkeeper,0.855
171,Tarun Nethula,2012,2012,5,12,9*,6,0,0,264,5,Feb-41,49.8,0,2,—,Bowler,0.0
172,Michael Bates,2012,2012,2,13,13,13,0,0,84,2,Jan-24,26,0,1,—,Batsman,0.0
173,Colin de Grandhomme,2012,2022,45,742,74*,26.5,4,0,1548,30,Mar-26,41,0,17,—,AllRounder,0.0
174,Trent Boult,2012,2023,114,216,21*,9,0,0,6180,211,Jul-34,24.38,6,43,—,Bowler,0.88
175,Adam Milne,2012,2024,50,180,36,12.85,0,0,2242,57,Apr-34,35.56,0,23,—,Bowler,0.0
176,Mitchell McClenaghan,2013,2016,48,108,34*,27,0,0,2336,82,May-58,28.2,1,4,—,Bowler,0.0
177,James Neesham,2013,2023,76,1495,97*,28.2,7,0,2448,71,May-27,36,2,27,—,AllRounder,0.74
178,Colin Munro,2013,2019,57,1271,87,24.92,8,0,552,7,02-Oct,68.71,0,22,—,Batsman,0.0
179,Hamish Rutherford,2013,2013,4,15,11,3.75,0,0,—,—,—,—,—,2,—,Batsman,0.0
180,Luke Ronchi2,2013,2017,81,1321,170*,23.17,3,1,—,—,—,—,—,100,10,Wicketkeeper,0.0
181,Corey Anderson,2013,2017,49,1109,131*,27.72,4,1,1485,60,May-63,25.03,1,11,—,AllRounder,0.0
182,Anton Devcich,2013,2016,12,195,58,17.72,1,0,324,4,Feb-33,72.75,0,3,—,Batsman,0.0
183,Matt Henry,2014,2025,95,270,48*,10.38,0,0,4946,172,May-30,24.98,3,32,—,Bowler,0.965
184,Mitchell Santner,2015,2025,124,1580,67,26.77,3,0,5875,133,May-50,35.46,2,53,—,AllRounder,0.905
185,Ben Wheeler,2015,2015,6,58,39*,—,0,0,366,8,Mar-63,39.37,0,1,—,AllRounder,0.0
186,Andrew Mathieson,2015,2015,1,0,0*,—,0,0,24,1,Jan-40,40,0,0,—,Bowler,0.0
187,Ish Sodhi,2015,2024,54,210,35,9.54,0,0,2557,64,Jun-39,36.71,1,14,—,Bowler,0.64
188,George Worker,2015,2018,10,272,58,34,3,0,6,0,—,—,—,5,—,AllRounder,0.0
189,Henry Nicholls,2015,2026,84,2252,124*,34.12,16,1,—,—,—,—,—,33,—,Batsman,0.785
190,Lockie Ferguson,2016,2023,65,122,19,7.17,0,0,3300,99,May-45,31.55,1,14,—,Bowler,0.85
191,Scott Kuggeleijn,2017,2017,2,11,11*,—,0,0,84,5,Mar-41,11.6,0,0,—,AllRounder,0.0
192,Seth Rance,2017,2017,2,—,—,—,—,—,105,1,Jan-44,110,0,3,—,Bowler,0.0
193,Todd Astle,2017,2019,9,79,49,26.33,0,0,270,10,Mar-33,24.6,0,2,—,AllRounder,0.0
194,Mark Chapman3,2018,2025,30,781,132,33.95,4,2,—,—,—,—,—,7,—,AllRounder,0.0
195,Tim Seifert,2019,2025,4,59,26,19.66,0,0,—,—,—,—,—,10,1,Wicketkeeper,0.0
196,Tom Blundell,2020,2023,12,266,68,29.55,2,0,—,—,—,—,—,13,2,Wicketkeeper,0.0
197,Kyle Jamieson,2020,2026,23,101,25*,25.25,0,0,1108,30,Apr-41,32.66,0,4,—,AllRounder,0.0
198,Devon Conway,2021,2026,43,1692,152*,43.38,5,6,—,—,—,—,—,20,—,Wicketkeeper,0.675
199,Daryl Mitchell,2021,2026,59,2690,137,58.47,12,9,339,14,Mar-25,23.92,0,41,—,AllRounder,0.81
200,Will Young,2021,2026,55,1823,120,36.46,11,4,—,—,—,—,—,30,—,Batsman,0.81
201,Michael Bracewell,2022,2026,43,956,140,37.76,3,2,1680,38,Apr-26,36.18,0,33,—,AllRounder,0.0
202,Blair Tickner,2022,2025,16,34,18,17,0,0,767,25,Apr-34,33.52,0,6,—,Bowler,0.0
203,Finn Allen,2022,2023,22,582,96,27.71,5,0,—,—,—,—,—,9,—,Batsman,0.0
